"country","year","type","twh","tot"
"253","Italy",2015,"gas_electricity",110880,3420.64
"254","Italy",2015,"hydro_electricity",45540,3420.64
"255","Italy",2015,"nuclear_electricity",0,3420.64
"256","Italy",2015,"oil_electricity",16730,3420.64
"257","Italy",2015,"other_renewable_exc_biofuel_electricity",6180,3420.64
"258","Italy",2015,"solar_electricity",22940,3420.64
"259","Italy",2015,"wind_electricity",14840,3420.64
"260","Italy",2015,"tot",279700,3420.64
"261","Italy",2016,"biofuel_electricity",19500,3420.64
"262","Italy",2016,"coal_electricity",35610,3420.64
"263","Italy",2016,"gas_electricity",126170,3420.64
"264","Italy",2016,"hydro_electricity",42430,3420.64
"265","Italy",2016,"nuclear_electricity",0,3420.64
"266","Italy",2016,"oil_electricity",16160,3420.64
"267","Italy",2016,"other_renewable_exc_biofuel_electricity",6290,3420.64
"268","Italy",2016,"solar_electricity",22100,3420.64
"269","Italy",2016,"wind_electricity",17690,3420.64
"270","Italy",2016,"tot",285950,3420.64
"271","Italy",2017,"biofuel_electricity",19370,3420.64
"272","Italy",2017,"coal_electricity",32630,3420.64
"273","Italy",2017,"gas_electricity",140360,3420.64
"274","Italy",2017,"hydro_electricity",36200,3420.64
"275","Italy",2017,"nuclear_electricity",0,3420.64
"276","Italy",2017,"oil_electricity",15210,3420.64
"277","Italy",2017,"other_renewable_exc_biofuel_electricity",6200,3420.64
"278","Italy",2017,"solar_electricity",24380,3420.64
"279","Italy",2017,"wind_electricity",17740,3420.64
"280","Italy",2017,"tot",292090,3420.64
"281","Italy",2018,"biofuel_electricity",19140,3420.64
"282","Italy",2018,"coal_electricity",28470,3420.64
"283","Italy",2018,"gas_electricity",128560,3420.64
"284","Italy",2018,"hydro_electricity",48790,3420.64
"285","Italy",2018,"nuclear_electricity",0,3420.64
"286","Italy",2018,"oil_electricity",14620,3420.64
"287","Italy",2018,"other_renewable_exc_biofuel_electricity",6110,3420.64
"288","Italy",2018,"solar_electricity",22650,3420.64
"289","Italy",2018,"wind_electricity",17720,3420.64
"290","Italy",2018,"tot",286060,3420.64
"291","Italy",2019,"biofuel_electricity",19550,3420.64
"292","Italy",2019,"coal_electricity",18840,3420.64
"293","Italy",2019,"gas_electricity",141700,3420.64
"294","Italy",2019,"hydro_electricity",46320,3420.64
"295","Italy",2019,"nuclear_electricity",0,3420.64
"296","Italy",2019,"oil_electricity",13620,3420.64
"297","Italy",2019,"other_renewable_exc_biofuel_electricity",6070,3420.64
"298","Italy",2019,"solar_electricity",23690,3420.64
"299","Italy",2019,"wind_electricity",20200,3420.64
"300","Italy",2019,"tot",289990,3420.64
"301","Turkey",2014,"biofuel_electricity",1080,3366.72
"302","Turkey",2014,"coal_electricity",76260,3366.72
"303","Turkey",2014,"gas_electricity",120580,3366.72
"304","Turkey",2014,"hydro_electricity",40640,3366.72
"305","Turkey",2014,"nuclear_electricity",0,3366.72
"306","Turkey",2014,"oil_electricity",2160,3366.72
"307","Turkey",2014,"other_renewable_exc_biofuel_electricity",2360,3366.72
"308","Turkey",2014,"solar_electricity",20,3366.72
"309","Turkey",2014,"wind_electricity",8520,3366.72
